E80;3.25;12;3.1;3;E77,E78,E79,E84
E81;Treppe runter vor Innenhof;13.3;5.4;3;E82,E83,E43,E45
E82;Eingang Innenhof;14;5.2;3;E81,E83,E43
E83;Treppe hoch vor Innenhof;13.3;4.8;3;E81,E82,E88,E84,E87
E84;3.22;13.3;2.7;3;E87,E88,E83,E79,E80
E87;3.23;14;2.6;3;E84,E88,E79
E88;3.24;13.7;3.2;3;E84,E87,E83,E81
E85;3.33;20.4;2.7;3;E86,E77
E90;3.42;25.8;9.7;3;E56,E58
E91;3.43;25.8;9.7;3;E56,E58
E86;3.43;23.1;3.1;3;E73,E85,E72
E73;Treppe U4 Runter;23.1;5.0;3;E60,E89,E68,E72
E89;Treppe U4 Mitte;21.2;5.0;3;E37,E66

